FID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID
164,MCTO,MCILWAINE REGIONAL PARK,MCILWAINE RD,0, , , , ,HUNTERSVILLE,NC,28078,REGIONAL PARK,UNDEVELOPED,NORTH,137.70743, ,0,0, ,District 1,,BLACKSR, ,1434385.49586,603436.375856, 
165,CROS,CROSSRIDGE ROAD NEIGHBORHOOD PARK,CROSSRIDGE RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,NEIGHBORHOOD PARK,UNDEVELOPED,NORTH,7.97, ,0,0,District 3,District 1,2003-07-11T00:00:00.000Z,BLACKSR, ,1419429.84943,556645.69717, 
166,ALLE,ALLEGHANY ST NEIGHBORHOOD PARK,ALLEGHANY ST,0, , , , ,CHARLOTTE,NC,28208,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,5.42143, ,0,0,District 3,District 2,,BLACKSR, ,1432291.87599,547055.815858, 
167,FIRST,FIRST WARD NEIGHBORHOOD PARK,N CALDWELL ST,0, , , , ,CHARLOTTE,NC,28202,NEIGHBORHOOD PARK,UNDEVELOPED,CENTRAL,2.04051, ,0,0,District 1,District 4,,BLACKSR, ,1452240.64187,542657.080008, 
168,CTMY,C.T. MYERS GOLF COURSE,7817 HARRISBURG RD,7817, ,HARRISBURG,RD, ,CHARLOTTE,NC,28215,GOLF COURSE,DEVELOPED,SOUTH,304.449,7045361692,0,0,District 5,District 1,2002-03-18T00:00:00.000Z,BLACKSR, ,1496522.81454,539883.199659, 
169,MATM,MATTHEWS-MINT HILL REGIONAL PARK,MATTHEWS-MINT HILL RD,0, , , , ,MATTHEWS,NC,28105,REGIONAL PARK,UNDEVELOPED,SOUTH,93.15935, ,0,0, ,District 6,,BLACKSR, ,1496506.50784,507596.291545, 
170,CADI,CADILLAC GOLF DRIVING RANGE,10401 CADILLAC ST,0, , , , ,PINEVILLE,NC,28134,GOLF COURSE,DEVELOPED,SOUTH,26.95105, ,0,0, ,District 6,,BLACKSR, ,1437564.62937,495633.669361, 
171,DAVS,CLARK'S CREEK NATURE PRESERVE,5542 HUCKS RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28269,NATURE PRESERVE,UNDEVELOPED,NORTH,98.529, ,0,0,District 4,District 1,2003-07-11T00:00:00.000Z,BLACKSR, ,1460538.42413,587342.424973, 
172,MLKR,MARTIN LUTHER KING JR. RECREATION CENTER,500 BILMARK AV,0, , , , ,CHARLOTTE,NC, ,RECREATION CENTER,DEVELOPED,CENTRAL,0, ,0,0,District 4,District 3,1899-12-30T00:00:00.000Z,BLACKSR, ,1469136.26142,555546.351731, 
173,MORC,MERRY OAKS RECREATION CENTER,3508 DRAPER AV,0, , , , ,CHARLOTTE,NC,28205,RECREATION CENTER,DEVELOPED,CENTRAL,0, ,0,0,District 1,District 4,1899-12-30T00:00:00.000Z,BLACKSR, ,1467637.43253,539850.93657, 
